date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:12:55	82/82	---M--	302	error ('Found')	text/plain	date:Wed,%2008%20Feb%202023%2023:12:57%20GMT	https://foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t3-330x220.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https_/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t3-330x220.jpg	(from https://foxiz.themeruby.com/tech/)
06:12:56	8602/8602	---M--	200	added ('OK')	image/jpeg	etag:%2261b170eb-248a%22	https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t3-330x220.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t3-330x220.jpg	(from https://foxiz.themeruby.com/tech/)
06:12:56	83/83	---M--	302	error ('Found')	text/plain	date:Wed,%2008%20Feb%202023%2023:12:58%20GMT	https://foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t13-330x220.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https_/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t13-330x220.jpg	(from https://foxiz.themeruby.com/tech/)
06:12:56	592944/592944	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:34%20GMT	https://foxiz.themeruby.com/tech/portable-bluetooth-speakersthat-can-go-literally-anywhere/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/portable-bluetooth-speakersthat-can-go-literally-anywhere/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:57	13521/13521	---M--	200	added ('OK')	image/jpeg	etag:%2261b16f63-3a2e%22	https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t13-330x220.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t13-330x220.jpg	(from https://foxiz.themeruby.com/tech/)
06:12:57	593614/593614	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:38%20GMT	https://foxiz.themeruby.com/tech/should-i-replace-my-upright-vacuum-with-a-cleaning-robot/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/should-i-replace-my-upright-vacuum-with-a-cleaning-robot/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:57	593993/593993	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:23%20GMT	https://foxiz.themeruby.com/tech/heres-why-business-needs-a-mobile-friendly-website/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/heres-why-business-needs-a-mobile-friendly-website/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:58	589154/589154	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:08%20GMT	https://foxiz.themeruby.com/tech/ai-chips-that-made-it-to-the-market-in-2022/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/ai-chips-that-made-it-to-the-market-in-2022/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:58	589971/589971	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:30%20GMT	https://foxiz.themeruby.com/tech/how-to-buy-a-best-smartwatch-or-fitness-tracker-right-now/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/how-to-buy-a-best-smartwatch-or-fitness-tracker-right-now/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:58	589663/589663	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:40%20GMT	https://foxiz.themeruby.com/tech/start-a-digital-marketing-website-for-your-service/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/start-a-digital-marketing-website-for-your-service/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:58	590143/590143	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:14%20GMT	https://foxiz.themeruby.com/tech/bluetooth-technology-work-in-tandem-for-indoor-positioning-system/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/bluetooth-technology-work-in-tandem-for-indoor-positioning-system/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:58	588243/588243	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:41%20GMT	https://foxiz.themeruby.com/tech/ways-to-play-music-using-your-amazon-echo/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/ways-to-play-music-using-your-amazon-echo/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:58	593360/593360	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:41%20GMT	https://foxiz.themeruby.com/tech/top-rated-products-in-wireless-portable-bluetooth-speakers/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/top-rated-products-in-wireless-portable-bluetooth-speakers/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:59	534729/534729	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Feb%202023%2023:13:01%20GMT	https://foxiz.themeruby.com/tech/404-page	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/404-page	(from https://foxiz.themeruby.com/tech/)
06:12:59	589091/589091	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:12%20GMT	https://foxiz.themeruby.com/tech/archt-audio-debuts-it-is-new-mini-wireless-speaker/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/archt-audio-debuts-it-is-new-mini-wireless-speaker/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:59	589487/589487	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:04%20GMT	https://foxiz.themeruby.com/tech/10-reasons-to-choose-playstation-5-as-your-next-console/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/10-reasons-to-choose-playstation-5-as-your-next-console/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:59	590355/590355	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:15%20GMT	https://foxiz.themeruby.com/tech/best-beaches-in-the-uk-for-the-perfect-sandy-getaway/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/best-beaches-in-the-uk-for-the-perfect-sandy-getaway/index.html	(from https://foxiz.themeruby.com/tech/)
06:13:00	590388/590388	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:32%20GMT	https://foxiz.themeruby.com/tech/linkedin-launches-new-formats-for-live-events/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/linkedin-launches-new-formats-for-live-events/index.html	(from https://foxiz.themeruby.com/tech/)
06:13:00	589106/589106	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:41%20GMT	https://foxiz.themeruby.com/tech/top-10-largest-hot-high-quality-earphone-handsfree/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/top-10-largest-hot-high-quality-earphone-handsfree/index.html	(from https://foxiz.themeruby.com/tech/)
06:13:00	6450/6450	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Feb%202023%2023:13:02%20GMT	https://foxiz.themeruby.com/tech/wp-login.php?redirect_to=https%3A%2F%2Ffoxiz.themeruby.com%2Ftech	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/wp-login95d2.html	(from https://foxiz.themeruby.com/tech/)
